ts_utc,symbol,setup,side,entry,sl,tp,was_executed,skip_reason
2026-04-26 19:50:01,BTCUSD,RG1,BUY,78221.0,78103.67,78361.8,Y,
2026-04-26 21:57:00,ETHUSD,RG2,BUY,2364.22,2357.13,2371.31,Y,
2026-04-27 01:40:02,ETHUSD,RG2,BUY,2387.06,2379.9,2394.22,Y,
2026-04-27 02:53:00,AVAXUSD,TREND,BUY,9.55,9.41,,Y,
2026-04-27 03:43:02,ETHUSD,RG2,BUY,2397.33,2390.14,2404.52,Y,
2026-04-27 04:32:15,AVAXUSD,RG2,BUY,9.52,9.49,9.55,Y,
2026-04-27 06:19:00,BTCUSD,SMC,BUY,77807.28,77669.55,78082.75,Y,
2026-04-27 06:30:40,BTCUSD,RG2,SELL,77725.14,77958.32,77491.96,N,insufficient_balance
2026-04-27 06:31:32,BNBUSD,RG2,SELL,628.22,630.1,626.34,N,"error:asset ""BNBUSD"" not found"
2026-04-27 06:32:05,XRPUSD,RG2,SELL,1.4168,1.42,1.41,N,insufficient_balance
2026-04-27 06:32:05,AVAXUSD,RG2,SELL,9.25,9.28,9.22,Y,
2026-04-27 06:32:39,SOLUSD,RG2,SELL,85.81,86.07,85.55,N,insufficient_balance
2026-04-27 06:32:39,ETHUSD,RG2,SELL,2315.68,2322.63,2308.73,Y,
2026-04-27 07:02:34,ETHUSD,RG2,SELL,2321.27,2328.23,2314.31,N,insufficient_balance
2026-04-27 07:09:35,AVAXUSD,RG2,SELL,9.24,9.27,9.21,N,insufficient_balance
2026-04-27 07:33:25,BTCUSD,RG2,SELL,77629.59,77862.48,77396.7,N,insufficient_balance
2026-04-27 07:59:33,ETHUSD,RG2,SELL,2316.8,2323.75,2309.85,N,insufficient_balance
2026-04-27 07:59:33,SOLUSD,RG2,SELL,85.33,85.59,85.07,N,error:circuito alpaca abierto
2026-04-27 08:00:17,AVAXUSD,RG2,SELL,9.23,9.26,9.2,N,error:circuito alpaca abierto
2026-04-27 08:00:23,AVAXUSD,RG2,SELL,9.23,9.26,9.2,N,error:circuito alpaca abierto
2026-04-27 08:00:28,AVAXUSD,RG2,SELL,9.23,9.26,9.2,N,error:circuito alpaca abierto
2026-04-27 08:00:34,AVAXUSD,RG2,SELL,9.23,9.26,9.2,N,error:circuito alpaca abierto
2026-04-27 08:01:00,XRPUSD,RG2,SELL,1.4139,1.42,1.41,N,error:circuito alpaca abierto
2026-04-27 08:01:00,BNBUSD,RG2,SELL,625.74,627.62,623.86,N,error:circuito alpaca abierto
2026-04-27 08:01:05,XRPUSD,RG2,SELL,1.4139,1.42,1.41,N,error:circuito alpaca abierto
2026-04-27 08:01:05,BNBUSD,RG2,SELL,625.74,627.62,623.86,N,error:circuito alpaca abierto
2026-04-27 08:01:11,XRPUSD,RG2,SELL,1.4139,1.42,1.41,N,error:circuito alpaca abierto
2026-04-27 08:01:11,BNBUSD,RG2,SELL,625.74,627.62,623.86,N,error:circuito alpaca abierto
2026-04-27 08:01:16,XRPUSD,RG2,SELL,1.4139,1.42,1.41,N,error:circuito alpaca abierto
2026-04-27 08:01:16,BNBUSD,RG2,SELL,625.74,627.62,623.86,N,error:circuito alpaca abierto
2026-04-27 08:28:31,AVAXUSD,SMC,SELL,9.23,9.27,9.16,N,insufficient_balance
2026-04-27 08:28:58,XRPUSD,RG2,SELL,1.4149,1.42,1.41,N,error:circuito alpaca abierto
2026-04-27 08:29:04,XRPUSD,RG2,SELL,1.4149,1.42,1.41,N,error:circuito alpaca abierto
2026-04-27 08:29:10,XRPUSD,RG2,SELL,1.4149,1.42,1.41,N,error:circuito alpaca abierto
2026-04-27 08:29:15,XRPUSD,RG2,SELL,1.4149,1.42,1.41,N,error:circuito alpaca abierto
2026-04-27 08:36:35,BNBUSD,SMC,SELL,626.72,627.21,625.73,N,"error:asset ""BNBUSD"" not found"
2026-04-27 08:41:26,BTCUSD,RG2,SELL,77588.22,77820.98,77355.46,N,insufficient_balance
2026-04-27 09:21:32,BTCUSD,RG2,SELL,77776.31,78009.64,77542.98,N,insufficient_balance
2026-04-27 09:22:59,SOLUSD,RG2,SELL,85.34,85.6,85.08,N,error:circuito alpaca abierto
2026-04-27 09:23:00,ETHUSD,RG2,SELL,2317.19,2324.14,2310.24,N,error:circuito alpaca abierto
2026-04-27 09:23:03,XRPUSD,RG2,SELL,1.4167,1.42,1.41,N,error:circuito alpaca abierto
2026-04-27 09:23:04,SOLUSD,RG2,SELL,85.34,85.6,85.08,N,error:circuito alpaca abierto
2026-04-27 09:23:06,ETHUSD,RG2,SELL,2317.19,2324.14,2310.24,N,error:circuito alpaca abierto
2026-04-27 09:23:09,XRPUSD,RG2,SELL,1.4167,1.42,1.41,N,error:circuito alpaca abierto
2026-04-27 09:23:10,SOLUSD,RG2,SELL,85.34,85.6,85.08,N,error:circuito alpaca abierto
2026-04-27 09:23:11,ETHUSD,RG2,SELL,2317.19,2324.14,2310.24,N,error:circuito alpaca abierto
2026-04-27 09:23:14,XRPUSD,RG2,SELL,1.4167,1.42,1.41,N,error:circuito alpaca abierto
2026-04-27 09:23:15,SOLUSD,RG2,SELL,85.34,85.6,85.08,N,error:circuito alpaca abierto
2026-04-27 09:23:17,ETHUSD,RG2,SELL,2317.19,2324.14,2310.24,N,error:circuito alpaca abierto
2026-04-27 09:23:20,XRPUSD,RG2,SELL,1.4167,1.42,1.41,N,error:circuito alpaca abierto
