2026-04-26 14:50:01,010 | ORDER_PLACED | symbol=BTCUSD | setup=RG1 | detail=qty=0.000128 mode=live
2026-04-26 16:33:15,111 | SIM_LOSS | symbol=BTCUSD | setup=RG1 | detail=price=78081.3584 entry=78221.0 sl=78103.67 tp=86033.5 pnl=-0.0179
2026-04-26 16:57:00,941 | ORDER_PLACED | symbol=ETHUSD | setup=RG2 | detail=qty=0.00423 mode=live
2026-04-26 16:58:16,087 | SIM_LOSS | symbol=ETHUSD | setup=RG2 | detail=price=2355.572 entry=2364.22 sl=2357.13 tp=2600.6266193853426 pnl=-0.0366
2026-04-26 20:40:02,324 | ORDER_PLACED | symbol=ETHUSD | setup=RG2 | detail=qty=0.004189 mode=live
2026-04-26 21:53:00,885 | ORDER_PLACED | symbol=AVAXUSD | setup=TREND | detail=qty=1.04712 mode=live
2026-04-26 22:43:02,943 | ORDER_PLACED | symbol=ETHUSD | setup=RG2 | detail=qty=0.004171 mode=live
2026-04-26 23:32:15,020 | ORDER_PLACED | symbol=AVAXUSD | setup=RG2 | detail=qty=1.05042 mode=live
2026-04-26 23:32:16,016 | SIM_LOSS | symbol=ETHUSD | setup=RG2 | detail=price=2389.7 entry=2397.33 sl=2390.14 tp=2637.080659314313 pnl=-0.0318
2026-04-26 23:44:16,898 | SIM_LOSS | symbol=AVAXUSD | setup=RG2 | detail=price=9.49 entry=9.52 sl=9.49 tp=10.472000152320025 pnl=-0.0315
2026-04-27 01:19:00,388 | ORDER_PLACED | symbol=BTCUSD | setup=SMC | detail=qty=0.000129 mode=live
2026-04-27 01:19:02,467 | SIM_LOSS | symbol=ETHUSD | setup=RG2 | detail=price=2323.89 entry=2364.22 sl=2357.13 tp=2600.6266193853426 pnl=-0.1706
2026-04-27 01:19:02,471 | SIM_LOSS | symbol=AVAXUSD | setup=TREND | detail=price=9.27 entry=9.55 sl=9.41 tp=10.505000382000153 pnl=-0.2932
2026-04-27 01:30:40,197 | REJECTED | symbol=BTCUSD | setup=RG2 | detail=insufficient balance for BTC (requested: 0.000129, available: 0.000128677)
2026-04-27 01:31:00,681 | SIM_LOSS | symbol=BTCUSD | setup=SMC | detail=price=77657.2 entry=77807.28 sl=77669.55 tp=85559.21798449612 pnl=-0.0194
2026-04-27 01:31:32,015 | ERROR | symbol=BNBUSD | setup=RG2 | detail=asset "BNBUSD" not found
2026-04-27 01:32:05,751 | REJECTED | symbol=XRPUSD | setup=RG2 | detail=insufficient balance for XRP (requested: 7.058159, available: 0)
2026-04-27 01:32:05,981 | ORDER_PLACED | symbol=AVAXUSD | setup=RG2 | detail=qty=1.081081 mode=live
2026-04-27 01:32:39,292 | REJECTED | symbol=SOLUSD | setup=RG2 | detail=insufficient balance for SOL (requested: 0.116537, available: 0)
2026-04-27 01:32:39,487 | ORDER_PLACED | symbol=ETHUSD | setup=RG2 | detail=qty=0.004318 mode=live
2026-04-27 01:49:35,000 | SIM_LOSS | symbol=ETHUSD | setup=RG2 | detail=price=2324.3 entry=2315.68 sl=2322.63 tp=2084.091301528485 pnl=-0.0372
2026-04-27 02:02:34,530 | REJECTED | symbol=ETHUSD | setup=RG2 | detail=insufficient balance for ETH (requested: 0.004308, available: 0.004021099)
2026-04-27 02:09:02,128 | SIM_LOSS | symbol=AVAXUSD | setup=RG2 | detail=price=9.28189 entry=9.25 sl=9.28 tp=8.324999930624994 pnl=-0.0345
2026-04-27 02:09:35,012 | REJECTED | symbol=AVAXUSD | setup=RG2 | detail=insufficient balance for AVAX (requested: 1.082251, available: 1.01121515)
